Time,Current,Theta_m,Q_load,Speed,DotQ,Delta_Theta,Tau_m
0.892,20.6165790456297,26.0520783283215,0.256364007882245,31.6172241887305,0.313041860790507,0.00157736170509692,1.13535500804283
0.893,20.6165790927307,26.0836955544914,0.256677049664971,31.6172222713177,0.313041921583959,0.00157736176563639,1.13535501063668
0.894,20.6165791428051,26.1153127789631,0.256990091503836,31.6172204421103,0.313041981253459,0.00157736175322476,1.13535501339428
0.895,20.6165791956876,26.1469300017551,0.257303133400427,31.6172187111003,0.313042039508209,0.00157736166645578,1.13535501630652
0.896,20.6165792512027,26.178547222895,0.25761617535593,31.6172170873051,0.313042096077303,0.0015773615044164,1.13535501936373
0.897,20.6165793091651,26.2101644424193,0.257929217371129,31.6172155787673,0.313042150709724,0.00157736126668617,1.13535502255572
0.898,20.6165793693795,26.2417816603741,0.258242259446405,31.6172141925544,0.313042203174345,0.00157736095333777,1.13535502587173
0.899,20.6165794316408,26.2733988768141,0.258555301581738,31.6172129347593,0.313042253259929,0.00157736056493668,1.13535502930046
0.9,20.616579495734,26.3050160918036,0.258868343776702,31.6172118105002,0.313042300775127,0.00157736010254139,1.13535503283007
0.901,20.616579561434,26.3366333054158,0.259181386030473,31.6172108239201,0.313042345548482,0.00157735956770333,1.13535503644817
0.902,20.6165796285061,26.3682505177331,0.259494428341821,31.6172099781875,0.313042387428424,0.00157735896246669,1.13535504014183
0.903,20.6165796967053,26.399867728847,0.259807470709116,31.6172092754961,0.313042426283274,0.00157735828936872,1.13535504389756
0.904,20.616579765777,26.4314849388581,0.260120513130324,31.6172087170644,0.313042462001244,0.00157735755143962,1.13535504770134
0.905,20.6165798354565,26.4631021478763,0.260433555603009,31.6172083031366,0.313042494490434,0.00157735675220233,1.13535505153859
0.906,20.6165799054693,26.4947193560205,0.260746598124332,31.6172080329817,0.313042523678834,0.00157735589567304,1.13535505539419
0.907,20.6165799755309,26.5263365634188,0.261059640691054,31.6172079048939,0.313042549514323,0.00157735498636036,1.13535505925249
0.908,20.6165800453469,26.5579537702084,0.261372683299529,31.6172079161929,0.313042571964671,0.00157735402926634,1.13535506309726
0.909,20.6165801146132,26.5895709765356,0.261685725945714,31.6172080632232,0.313042591017536,0.0015773530298856,1.13535506691175
