Time,Current,Speed
0.724,1.724926564843,192.472481269571
0.726,1.72471282180152,192.477143237646
0.728,1.72448625995233,192.481764238863
0.73,1.72424755891652,192.486342158253
0.732,1.72399737896592,192.490875003668
0.734,1.72373636102316,192.495360905776
0.736,1.72346514147598,192.499797929113
0.738,1.72318436649814,192.504184092742
0.74,1.72289463493489,192.50851808884
0.742,1.72259652878696,192.512798698718
0.744,1.72229061504199,192.517024764655
0.746,1.72197744567455,192.521195189893
0.748,1.72165755764606,192.525308938642
0.75,1.72133147290487,192.529365036072
0.752,1.72099969838624,192.533362568324
0.754,1.72066272601231,192.537300682498
0.756,1.72032103269213,192.541178586664
0.758,1.71997508032165,192.544995549854
0.76,1.71962531578372,192.548750902066
0.762,1.7192721709481,192.552444034264
0.764,1.71891606267143,192.556074398375
0.766,1.71855739279727,192.559641507292
0.768,1.71819654815608,192.563144934873
0.77,1.71783390056522,192.566584315941
0.772,1.71746980682893,192.569959346284
0.774,1.71710460873838,192.573269782656
0.776,1.71673863307163,192.576515442774
0.778,1.71637219159364,192.579696205321
0.78,1.71600560457656,192.582811930199
0.782,1.71563923446182,192.585862474163
0.784,1.71527335525666,192.58884814168
0.786,1.71490822530941,192.591769282491
0.788,1.71454409457938,192.594626260672
0.79,1.71418120463685,192.59741945463
0.792,1.71381978866307,192.600149257103
0.794,1.71346007145025,192.602816075164
0.796,1.71310226940159,192.605420330217
0.798,1.71274659053125,192.607962457999
0.8,1.71239323446436,192.610442908579
0.802,1.71204239243704,192.612862146358
0.804,1.71169424729634,192.615220650069
0.806,1.71134897350033,192.61751891278
0.808,1.71100673711801,192.619757441889
0.81,1.71066769582937,192.621936759127
0.812,1.71033199892538,192.624057400557
0.814,1.70999978730796,192.626119916574
0.816,1.70967119349002,192.628124871908
0.818,1.70934634159543,192.630072845619
0.82,1.70902534735902,192.631964431099
0.822,1.70870831812662,192.633800236074
0.824,1.708395352855,192.635580882602
0.826,1.70808654285593,192.637307013373
0.828,1.7077819876156,192.638979505629
0.83,1.70748175995521,192.640599282499
0.832,1.707185917869,192.642167205398
0.834,1.70689451550229,192.643684131379
0.836,1.70660760315155,192.64515091313
0.838,1.70632522726433,192.646568398979
0.84,1.70604743043933,192.647937432889
0.842,1.70577425142635,192.649258854462
0.844,1.70550572512631,192.650533498934
0.846,1.70524188259123,192.65176219718
0.848,1.70498275102427,192.652945775713
0.85,1.70472835377969,192.654085056682
0.852,1.70447871036288,192.655180857872
0.854,1.70423383643033,192.656233992707
0.856,1.70399374378966,192.657245270247
0.858,1.70375844039959,192.65821549519
0.86,1.70352793036998,192.659145467869
0.862,1.70330221396178,192.660035984256
0.864,1.70308128758706,192.660887835961
0.866,1.70286514507594,192.661701818607
0.868,1.70265377719844,192.662478808138
0.87,1.70244715658111,192.663219693864
0.872,1.70224525261512,192.663925348781
0.874,1.70204803354533,192.664596633599
0.876,1.70185546647036,192.665234396745
0.878,1.70166751734253,192.665839474356
0.88,1.70148415096789,192.666412690288
0.882,1.70130533100621,192.666954856107
0.884,1.70113101997098,192.667466771098
0.886,1.70096117922941,192.667949222256
0.888,1.70079576900245,192.668402984292
0.89,1.70063474836475,192.668828819633
0.892,1.7004780752447,192.669227478417
0.894,1.70032570642439,192.669599698499
0.896,1.70017759753966,192.669946205448
0.898,1.70003370308006,192.670267712545
0.9,1.69989397638885,192.670564920789
0.902,1.69975836966303,192.67083851889
0.904,1.69962683395332,192.671089183275
0.906,1.69949931977457,192.671317593068
0.908,1.699375772122,192.671524484286
0.91,1.69925612652955,192.671710565568
0.912,1.6991403184105,192.671876528578
0.914,1.69902828358204,192.672023051544
0.916,1.69891995826531,192.672150799251
0.918,1.69881527908537,192.672260423045
0.92,1.69871418307123,192.672352560832
0.922,1.69861660765579,192.672427837078
0.924,1.69852249067593,192.67248686281
0.926,1.69843177037244,192.672530235614
0.928,1.69834438539002,192.672558539636
0.93,1.69826027477735,192.672572345583
0.932,1.69817937798699,192.672572210721
0.934,1.69810163487548,192.672558678876
0.936,1.69802698570324,192.672532280436
0.938,1.69795537113467,192.672493532347
0.94,1.69788673223808,192.672442938116
0.942,1.69782101048569,192.67238098781
0.944,1.6977581477537,192.672308158055
0.946,1.6976980863222,192.672224912039
0.948,1.69764076827236,192.672131717553
0.95,1.69758612978629,192.672029090165
0.952,1.69753410416125,192.67191749228
0.954,1.69748462569713,192.671797370591
0.956,1.69743762974147,192.671669161145
0.958,1.69739305268942,192.67153328934
0.96,1.6973508319838,192.671390169929
0.962,1.69731090611505,192.671240207015
0.964,1.69727321462126,192.671083794059
0.966,1.69723769808815,192.670921313869
0.968,1.69720429814909,192.67075313861
0.97,1.69717295748507,192.670579629798
0.972,1.69714361982474,192.670401138304
0.974,1.69711622994439,192.670218004349
0.976,1.69709073366792,192.67003055751
0.978,1.69706707786691,192.669839116715
0.98,1.69704521046054,192.669643990245
0.982,1.69702508041567,192.669445475735
0.984,1.69700663774676,192.669243860172
0.986,1.69698983351593,192.669039419896
0.988,1.69697461983294,192.668832420601
0.99,1.69696094985518,192.668623117333
0.992,1.69694877778769,192.668411754491
0.994,1.69693805358924,192.668198582294
0.996,1.69692871740501,192.667983876187
0.998,1.69692072129945,192.667767870368
1,1.6969140188236,192.667550788947
